
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server
  2026-04-18 08:57:59 /telegram/settings ................................................................. ~ 510.87ms
  2026-04-18 08:57:59 /dashboard ......................................................................... ~ 501.48ms
  2026-04-18 08:58:00 /twilio/settings ......................................................................... ~ 1s
  2026-04-18 08:58:01 /dashboard ......................................................................... ~ 514.73ms
  2026-04-18 08:58:01 /ai-assistant/settings ............................................................. ~ 513.96ms
  2026-04-18 08:58:02 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:58:19 /login ................................................................................... ~ 1s
  2026-04-18 08:58:20 /login ................................................................................... ~ 1s
  2026-04-18 08:58:21 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:58:22 /slack/settings .......................................................................... ~ 1s
  2026-04-18 08:58:23 /twilio/settings ................................................................... ~ 506.66ms
  2026-04-18 08:58:24 /ai-assistant/settings ................................................................... ~ 1s
  2026-04-18 08:58:25 /telegram/settings ................................................................. ~ 516.16ms
  2026-04-18 08:58:36 /login ............................................................................. ~ 502.46ms
  2026-04-18 08:58:36 /login ................................................................................... ~ 1s
  2026-04-18 08:58:38 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:58:39 /slack/settings .................................................................... ~ 504.71ms
  2026-04-18 08:59:06 /login ............................................................................. ~ 502.82ms
  2026-04-18 08:59:07 /login ................................................................................... ~ 1s
  2026-04-18 08:59:09 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:10 /slack/settings/store .............................................................. ~ 505.43ms
  2026-04-18 08:59:32 /login ............................................................................. ~ 516.42ms
  2026-04-18 08:59:33 /login ................................................................................... ~ 3s
  2026-04-18 08:59:36 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:38 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:38 /slack/settings/store .............................................................. ~ 511.70ms
  2026-04-18 08:59:39 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:40 /telegram/settings/store ................................................................. ~ 1s
  2026-04-18 08:59:41 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:42 /twilio/settings/store ............................................................. ~ 512.11ms
  2026-04-18 08:59:43 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:44 /ai-assistant/settings ................................................................... ~ 1s
  2026-04-18 08:59:45 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:12 /login ............................................................................. ~ 517.22ms
  2026-04-18 09:00:13 /login ................................................................................... ~ 1s
  2026-04-18 09:00:14 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:15 /twilio/settings ................................................................... ~ 501.20ms
  2026-04-18 09:00:16 /slack/settings .......................................................................... ~ 1s
  2026-04-18 09:00:17 /telegram/settings ................................................................. ~ 510.74ms
  2026-04-18 09:00:17 /ai-assistant/settings ................................................................... ~ 1s
  2026-04-18 09:00:30 /login ............................................................................. ~ 516.59ms
  2026-04-18 09:00:31 /login ................................................................................... ~ 1s
  2026-04-18 09:00:32 /dashboard ......................................................................... ~ 508.04ms
  2026-04-18 09:00:33 /slack/settings .......................................................................... ~ 1s
  2026-04-18 09:00:34 /dashboard ......................................................................... ~ 511.64ms
  2026-04-18 09:00:34 /telegram/settings ................................................................. ~ 518.65ms
  2026-04-18 09:00:35 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:36 /twilio/settings ................................................................... ~ 509.14ms
  2026-04-18 09:00:36 /dashboard ......................................................................... ~ 506.96ms
  2026-04-18 09:00:37 /ai-assistant/settings ............................................................. ~ 506.90ms
  2026-04-18 09:00:38 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:53 /login ............................................................................. ~ 517.48ms
  2026-04-18 09:00:53 /login ................................................................................... ~ 1s
  2026-04-18 09:00:55 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:56 /slack/settings .................................................................... ~ 507.31ms
  2026-04-18 09:00:57 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:01:28 /login ............................................................................. ~ 503.80ms
  2026-04-18 09:01:28 /login ................................................................................... ~ 2s
  2026-04-18 09:01:31 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:01:32 /slack/settings .................................................................... ~ 507.35ms
  2026-04-18 09:01:32 /telegram/settings ....................................................................... ~ 1s
  2026-04-18 09:01:33 /twilio/settings ................................................................... ~ 507.61ms
  2026-04-18 09:01:34 /ai-assistant/settings ............................................................. ~ 504.43ms
  2026-04-18 09:03:29 /login ................................................................................... ~ 1s
  2026-04-18 09:03:29 /build/assets/vendor-react-CE21K4bl.css .................................................. ~ 1s
  2026-04-18 09:03:30 /build/assets/app-D3zpLp_v.css ....................................................... ~ 1.47ms
  2026-04-18 09:03:30 /build/assets/app-CHooDjz-.js ........................................................ ~ 0.24ms
  2026-04-18 09:03:30 /build/assets/vendor-inertia-C-qOkn-4.js ............................................. ~ 1.25ms
  2026-04-18 09:03:30 /build/assets/radix-BA32w1ww.js ...................................................... ~ 0.16ms
  2026-04-18 09:03:30 /js/jquery.min.js .................................................................... ~ 0.18ms
  2026-04-18 09:03:30 /build/assets/vendor-react-CaJRblD1.js ............................................... ~ 4.05ms
  2026-04-18 09:03:30 /build/assets/vendor-Bdea2S_D.js ..................................................... ~ 4.80ms
  2026-04-18 09:03:30 /favicon.ico ......................................................................... ~ 2.09ms
  2026-04-18 09:03:31 /manifest.json ....................................................................... ~ 0.14ms
  2026-04-18 09:03:31 /.well-known/appspecific/com.chrome.devtools.json ........................................ ~ 1s
  2026-04-18 09:03:31 /sw.js ............................................................................... ~ 0.19ms
  2026-04-18 09:03:35 /login ................................................................................... ~ 1s
  2026-04-18 09:03:35 /build/assets/vendor-react-CE21K4bl.css .................................................. ~ 1s
  2026-04-18 09:03:36 /build/assets/app-D3zpLp_v.css ....................................................... ~ 1.14ms
  2026-04-18 09:03:36 /_debugbar/assets/stylesheets ...................................................... ~ 511.11ms
  2026-04-18 09:03:36 /build/assets/vendor-inertia-C-qOkn-4.js ........................................... ~ 512.61ms
